trip_id,stop_sequence,stop_id,arrival_time,departure_time
YB2282-20240628-20240915-1110000,1,CXH,19:15:00,19:15:00
YB2284-20240628-20240915-0001111,0,YWH,18:45:00,18:45:00
YB2284-20240628-20240915-0001111,1,CXH,19:20:00,19:20:00
YB2284-20240429-20240531-1110000,0,YWH,18:45:00,18:45:00
YB2284-20240429-20240531-1110000,1,CXH,19:20:00,19:20:00
YB2284-20240429-20240531-0000101,0,YWH,18:50:00,18:50:00
YB2284-20240429-20240531-0000101,1,CXH,19:25:00,19:25:00
YB2284-20240429-20240531-0001010,0,YWH,19:05:00,19:05:00
YB2284-20240429-20240531-0001010,1,CXH,19:40:00,19:40:00
YB2290-20240429-20240915-1111111,0,YWH,19:00:00,19:00:00
YB2290-20240429-20240915-1111111,1,CXH,19:35:00,19:35:00
YB2294-20240429-20240915-0001000,0,YWH,19:10:00,19:10:00
YB2294-20240429-20240915-0001000,1,CXH,19:45:00,19:45:00
YB2296-20240429-20240915-1111111,0,YWH,19:15:00,19:15:00
YB2296-20240429-20240915-1111111,1,CXH,19:50:00,19:50:00
YB2204-20240916-20240930-0000011,0,YWH,15:25:00,15:25:00
YB2204-20240916-20240930-0000011,1,CXH,16:00:00,16:00:00
YB2013-20240401-20240428-1111111,0,CXH,07:30:00,07:30:00
YB2013-20240401-20240428-1111111,1,YWH,08:05:00,08:05:00
YB2019-20240401-20240428-1111111,0,CXH,07:45:00,07:45:00
YB2019-20240401-20240428-1111111,1,YWH,08:20:00,08:20:00
YB2031-20240401-20240428-1111111,0,CXH,08:15:00,08:15:00
YB2031-20240401-20240428-1111111,1,YWH,08:50:00,08:50:00
YB2037-20240401-20240428-1111111,0,CXH,08:30:00,08:30:00
YB2037-20240401-20240428-1111111,1,YWH,09:05:00,09:05:00
YB2043-20240401-20240428-1111111,0,CXH,08:45:00,08:45:00
YB2043-20240401-20240428-1111111,1,YWH,09:20:00,09:20:00
YB2061-20240401-20240428-1111111,0,CXH,09:30:00,09:30:00
YB2061-20240401-20240428-1111111,1,YWH,10:05:00,10:05:00
